epoch,lr,train_loss,val_pairwise_acc,val_ndcg@10,val_ndcg@20
1,0.00120000,0.688236,0.615482,0.640570,0.678044
2,0.00120000,0.674844,0.603281,0.650353,0.680762
3,0.00120000,0.669275,0.599074,0.676817,0.700790
4,0.00120000,0.662119,0.597392,0.672672,0.704451
5,0.00120000,0.658157,0.590240,0.645756,0.677215
6,0.00120000,0.652421,0.587716,0.678191,0.697962
7,0.00120000,0.648499,0.616744,0.658323,0.683017
8,0.00120000,0.640612,0.597392,0.642827,0.674802
9,0.00060000,0.639678,0.588136,0.634699,0.669912
10,0.00060000,0.630472,0.602861,0.639160,0.672142
11,0.00060000,0.625417,0.612537,0.647395,0.675050
